,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
36,Karuna Sankar Bhowmik,CPI(M),0,10th Pass,53,"Rs 22,71,348 ~ 22 Lacs+","Rs 55,000 ~ 55 Thou+",PURBO MEDINIPUR,WestBengal2021,0
37,Koushik Das,IND,0,12th Pass,46,"Rs 2,26,300 ~ 2 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
38,Lirika Muktar,IND,0,12th Pass,26,"Rs 31,05,591 ~ 31 Lacs+","Rs 39,45,078 ~ 39 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
39,Mahammad Ali Sk,IND,0,10th Pass,55,"Rs 11,14,000 ~ 11 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
40,Mamata Banerjee,AITC,0,Post Graduate,66,"Rs 16,72,352 ~ 16 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
41,Manas Kumar Karmahapatra,INC,3,Graduate Professional,60,"Rs 1,18,18,457 ~ 1 Crore+","Rs 7,98,304 ~ 7 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
42,Manik Bhaumik,INC,2,Graduate,60,"Rs 4,82,837 ~ 4 Lacs+","Rs 2,52,000 ~ 2 Lacs+",PURBO MEDINIPUR,WestBengal2021,7
43,Manoj Kumar Das,SUCI(C),0,10th Pass,49,"Rs 10,02,000 ~ 10 Lacs+","Rs 35,000 ~ 35 Thou+",PURBO MEDINIPUR,WestBengal2021,0
44,Marphat Ali Khan,IND,0,Literate,58,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,2
45,Minakshi Mukherjee,CPI(M),2,Post Graduate,37,"Rs 1,32,198 ~ 1 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
46,Narayan Kinkar Mishra,IND,1,Post Graduate,70,"Rs 1,44,615 ~ 1 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
47,Narayan Pramanik,SUCI(C),0,12th Pass,52,"Rs 7,11,542 ~ 7 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
48,Panchanan Das,SUCI(C),1,12th Pass,45,"Rs 7,06,650 ~ 7 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
49,Partha Pratim Das,AITC,10,Graduate Professional,50,"Rs 65,36,726 ~ 65 Lacs+","Rs 40,00,000 ~ 40 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
50,Phajlur Rahaman Sek,IND,0,8th Pass,59,"Rs 2,41,250 ~ 2 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
51,Phiroja Bibi,AITC,2,8th Pass,70,"Rs 20,31,347 ~ 20 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
52,Prabir Mishra,IND,0,Post Graduate,33,"Rs 1,96,200 ~ 1 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
53,Preetilata Das Tewari,LJP,0,Graduate,30,"Rs 22,72,000 ~ 22 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
54,Pulak Kanti Guria,BJP,2,12th Pass,39,"Rs 2,52,054 ~ 2 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
55,Rabindra Nath Maity,BJP,1,12th Pass,50,"Rs 73,75,000 ~ 73 Lacs+","Rs 25,00,000 ~ 25 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
56,Sabyasachi Jana,CPI(M),5,Graduate Professional,59,"Rs 11,58,823 ~ 11 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
57,Saikat Giri,CPI,0,Post Graduate,31,"Rs 2,000 ~ 2 Thou+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
58,Samir Hossain,IND,0,Graduate,32,"Rs 91,000 ~ 91 Thou+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
59,Sandip Batabyal,IND,0,12th Pass,46,"Rs 1,58,000 ~ 1 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
60,Sangram Kumar Dolai,AITC,0,Post Graduate,41,"Rs 3,37,72,323 ~ 3 Crore+","Rs 1,35,76,750 ~ 1 Crore+",PURBO MEDINIPUR,WestBengal2021,0
61,Santanu Pramanik,BJP,0,Post Graduate,36,"Rs 10,84,792 ~ 10 Lacs+","Rs 61,311 ~ 61 Thou+",PURBO MEDINIPUR,WestBengal2021,0
62,Saumen Kumar Mahapatra,AITC,3,Doctorate,65,"Rs 8,28,25,747 ~ 8 Crore+","Rs 1,93,00,000 ~ 1 Crore+",PURBO MEDINIPUR,WestBengal2021,10
63,Saumitra Pattanayak,SUCI(C),0,Graduate,38,"Rs 10,23,808 ~ 10 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
64,Shiu Maiti,INC,0,Post Graduate,42,"Rs 54,59,418 ~ 54 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
65,Shrabani Pahari,SUCI(C),0,Post Graduate,53,"Rs 12,10,396 ~ 12 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
66,Sintu Senapati,BJP,2,Graduate,30,"Rs 3,09,096 ~ 3 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
67,Sk Saddam Hossain,IND,1,12th Pass,28,"Rs 47,000 ~ 47 Thou+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
68,Soham Chakraborty,AITC,0,Graduate,37,"Rs 4,59,88,266 ~ 4 Crore+","Rs 1,70,82,921 ~ 1 Crore+",PURBO MEDINIPUR,WestBengal2021,7
69,Somnath Mandal,SUCI(C),0,12th Pass,67,"Rs 61,06,689 ~ 61 Lacs+","Rs 70,000 ~ 70 Thou+",PURBO MEDINIPUR,WestBengal2021,0
70,Subrata Bag,SUCI(C),0,Graduate Professional,46,"Rs 5,10,045 ~ 5 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
71,Subrata Bose,IND,0,Graduate,62,"Rs 55,75,655 ~ 55 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
72,Subrata Ghorai,BSP,0,Literate,42,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,2
73,Sukumar De,AITC,0,Graduate,60,"Rs 14,28,598 ~ 14 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
74,Sulalit Mallick,Amra Bangalee,0,Graduate,45,"Rs 11,32,415 ~ 11 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
75,Sumita Sinha,BJP,0,Graduate,53,"Rs 4,14,10,667 ~ 4 Crore+","Rs 26,53,018 ~ 26 Lacs+",PURBO MEDINIPUR,WestBengal2021,7
76,Sunil Kumar Jana,SUCI(C),0,Post Graduate,59,"Rs 40,59,641 ~ 40 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
77,Surjyendu Bikash Patra,SUCI(C),0,Graduate,36,"Rs 52,70,000 ~ 52 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
78,Sutanu Maity,CPI(M),2,Post Graduate,45,"Rs 24,90,889 ~ 24 Lacs+","Rs 13,00,000 ~ 13 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
79,Swadesh Ranjan Nayak,BJP,7,8th Pass,66,"Rs 99,50,000 ~ 99 Lacs+","Rs 2,28,57,987 ~ 2 Crore+",PURBO MEDINIPUR,WestBengal2021,0
80,Swapan Kumar Bhowmik,SUCI(C),0,Post Graduate,57,"Rs 99,32,839 ~ 99 Lacs+","Rs 8,72,000 ~ 8 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
81,Swapan Naskar,AITC,2,10th Pass,57,"Rs 64,83,904 ~ 64 Lacs+","Rs 5,55,487 ~ 5 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
82,Swapan Parua,IND,0,10th Pass,33,"Rs 6,36,500 ~ 6 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
83,Tapan Kumar Maity,SUCI(C),0,12th Pass,45,"Rs 32,39,776 ~ 32 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
84,Tapasi Mondal,BJP,0,10th Pass,49,"Rs 81,10,430 ~ 81 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
85,Tarun Kumar Jana,AITC,6,Graduate,44,"Rs 38,03,815 ~ 38 Lacs+","Rs 1,57,00,000 ~ 1 Crore+",PURBO MEDINIPUR,WestBengal2021,7
86,Tarun Kumar Maity,AITC,0,Post Graduate,53,"Rs 85,82,414 ~ 85 Lacs+","Rs 55,50,786 ~ 55 Lacs+",PURBO MEDINIPUR,WestBengal2021,0
87,Tarun Mandal,Indian Unity Centre,0,8th Pass,39,"Rs 7,89,760 ~ 7 Lacs+","Rs 90,000 ~ 90 Thou+",PURBO MEDINIPUR,WestBengal2021,0
88,Tilak Kumar Chakraborty,AITC,2,Graduate,55,"Rs 73,16,584 ~ 73 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,7
89,Trayee Pradhan,Right to Recall Party,0,Others,30,"Rs 1,58,063 ~ 1 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
90,Uttam Barik,AITC,4,12th Pass,46,"Rs 43,32,026 ~ 43 Lacs+",Rs 0 ~,PURBO MEDINIPUR,WestBengal2021,0
0,Abhijit Bhattacharya,IND,0,Post Graduate,44,"Rs 44,39,532 ~ 44 Lacs+","Rs 3,75,000 ~ 3 Lacs+",PURULIA,WestBengal2021,0
1,Aditya Mahato,IND,0,8th Pass,48,"Rs 90,60,000 ~ 90 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
2,Anandi Tudu,BSP,0,10th Pass,52,Nil,Rs 0 ~,PURULIA,WestBengal2021,0
3,Ashutosh Mahato,AJSU Party,0,Graduate,53,"Rs 38,63,400 ~ 38 Lacs+","Rs 1,40,000 ~ 1 Lacs+",PURULIA,WestBengal2021,7
4,Aswini Singh Sardar,IND,0,10th Pass,49,"Rs 88,172 ~ 88 Thou+",Rs 0 ~,PURULIA,WestBengal2021,0
5,Babita Bouri,IND,0,10th Pass,40,"Rs 16,30,000 ~ 16 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
6,Bahadur Kushbaha Kuiri,IND,0,10th Pass,47,"Rs 8,97,798 ~ 8 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
7,Baneswar Mahato,BJP,3,12th Pass,48,"Rs 30,30,000 ~ 30 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
8,Besra Susanta Kumar,CPI(M),0,Post Graduate,41,"Rs 35,60,372 ~ 35 Lacs+","Rs 23,38,640 ~ 23 Lacs+",PURULIA,WestBengal2021,0
9,Bhagirath Mahato,SUCI(C),0,12th Pass,33,Nil,Rs 0 ~,PURULIA,WestBengal2021,0
10,Birendranath Mahato,IND,0,10th Pass,49,"Rs 2,60,700 ~ 2 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
11,Bouri Hazari,AITC,0,Graduate,39,"Rs 13,11,200 ~ 13 Lacs+","Rs 7,40,000 ~ 7 Lacs+",PURULIA,WestBengal2021,7
12,Bouri Parimal,BSP,0,10th Pass,35,"Rs 10,74,000 ~ 10 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
13,Debranjan Mahato,AIFB,0,Post Graduate,37,"Rs 11,00,671 ~ 11 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
14,Dhirendra Nath Mahato,AIFB,0,8th Pass,65,"Rs 11,58,364 ~ 11 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
15,Dibya Joti Singh Deo,IND,0,10th Pass,36,"Rs 22,243 ~ 22 Thou+",Rs 0 ~,PURULIA,WestBengal2021,0
16,Dipak Kumar,SUCI(C),0,12th Pass,38,Nil,Rs 0 ~,PURULIA,WestBengal2021,0
17,Dipak Kumar Mahato,SUCI(C),0,Graduate,47,"Rs 7,74,168 ~ 7 Lacs+","Rs 3,00,000 ~ 3 Lacs+",PURULIA,WestBengal2021,7
18,Ganesh Bouri,CPI(M),0,Graduate,46,"Rs 4,95,506 ~ 4 Lacs+","Rs 3,00,000 ~ 3 Lacs+",PURULIA,WestBengal2021,7
19,Gouri Sing Sardar,BJP,0,10th Pass,47,"Rs 6,28,255 ~ 6 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
20,Harendra Nath Mahato,Amra Bangalee,0,8th Pass,57,"Rs 12,15,000 ~ 12 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
21,Jagannath Bauri,SUCI(C),0,Graduate,52,"Rs 4,57,500 ~ 4 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,7
22,Jawahar Lal Mahato,Mulnibasi Party of India,1,Graduate,66,"Rs 4,65,554 ~ 4 Lacs+","Rs 40,000 ~ 40 Thou+",PURULIA,WestBengal2021,7
23,Kamalakanta Hansda,BJP,0,Post Graduate,47,"Rs 45,02,009 ~ 45 Lacs+","Rs 13,00,000 ~ 13 Lacs+",PURULIA,WestBengal2021,0
24,Mallika Mahata,CPI(M),0,Graduate,40,"Rs 33,88,050 ~ 33 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,7
25,Manas Sardar,BSP,0,8th Pass,30,Nil,Rs 0 ~,PURULIA,WestBengal2021,0
26,Mihir Bauri,IND,0,12th Pass,49,"Rs 15,03,900 ~ 15 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
27,Mritunjoy Pandey,IND,1,12th Pass,46,"Rs 84,51,448 ~ 84 Lacs+","Rs 50,000 ~ 50 Thou+",PURULIA,WestBengal2021,0
28,Mrityunjoy Singh Babu,SUCI(C),0,Post Graduate,56,"Rs 21,24,000 ~ 21 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
29,Nadiar Chand Bouri,BJP,0,12th Pass,43,"Rs 16,89,675 ~ 16 Lacs+","Rs 6,50,000 ~ 6 Lacs+",PURULIA,WestBengal2021,0
30,Nageswar Mahato,IND,0,8th Pass,62,"Rs 19,30,000 ~ 19 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
31,Nara Hari Mahato,BJP,3,Post Graduate,65,"Rs 1,17,27,000 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+",PURULIA,WestBengal2021,0
32,Narendra Nath Mahata,Amra Bangalee,0,Post Graduate,33,"Rs 8,00,500 ~ 8 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
33,Nepal Chandra Mahato,IND,0,10th Pass,34,"Rs 18,19,640 ~ 18 Lacs+","Rs 2,42,757 ~ 2 Lacs+",PURULIA,WestBengal2021,0
34,Nepal Chandra Mahato,INC,2,Post Graduate,59,"Rs 50,97,439 ~ 50 Lacs+","Rs 4,19,982 ~ 4 Lacs+",PURULIA,WestBengal2021,0
35,Parcy Murmu,BJP,0,12th Pass,41,"Rs 12,08,827 ~ 12 Lacs+","Rs 8,36,558 ~ 8 Lacs+",PURULIA,WestBengal2021,0
36,Partha Pratim Banerjeee,INC,0,Graduate,53,"Rs 1,95,38,621 ~ 1 Crore+","Rs 9,52,289 ~ 9 Lacs+",PURULIA,WestBengal2021,7
37,Pashupati Mahato,Amra Bangalee,0,Graduate,66,"Rs 7,16,000 ~ 7 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,7
38,Pashupati Roy,SUCI(C),0,Graduate,47,"Rs 3,92,500 ~ 3 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,7
39,Phanibhushan Kumar,INC,0,Graduate,55,"Rs 51,32,466 ~ 51 Lacs+","Rs 5,25,013 ~ 5 Lacs+",PURULIA,WestBengal2021,7
40,Purna Chandra Tudu,BSP,0,Graduate,41,"Rs 31,000 ~ 31 Thou+",Rs 0 ~,PURULIA,WestBengal2021,7
41,Rajib Lochan Saren,AITC,0,Graduate Professional,47,"Rs 87,93,233 ~ 87 Lacs+","Rs 20,34,628 ~ 20 Lacs+",PURULIA,WestBengal2021,0
42,Rani Mahato,SUCI(C),0,10th Pass,41,"Rs 2,500 ~ 2 Thou+",Rs 0 ~,PURULIA,WestBengal2021,0
43,Sandhyarani Tudu,AITC,0,10th Pass,50,"Rs 21,48,082 ~ 21 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
44,Shantiram Mahato,AITC,2,12th Pass,68,"Rs 1,03,36,156 ~ 1 Crore+",Rs 0 ~,PURULIA,WestBengal2021,0
45,Sib Sankar Singh,IND,0,Post Graduate,50,"Rs 65,81,869 ~ 65 Lacs+","Rs 5,82,293 ~ 5 Lacs+",PURULIA,WestBengal2021,0
46,Sitaram Hansda,Ambedkarite Party of India,0,10th Pass,46,"Rs 15,29,600 ~ 15 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
47,Subhash Mahato,Bharateeya Manavadhikar party,0,Graduate,50,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,PURULIA,WestBengal2021,7
48,Sudarshan Rajwar,BSP,0,8th Pass,35,"Rs 3,03,000 ~ 3 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
49,Sudip Kumar Mukherjee,BJP,3,8th Pass,51,"Rs 45,02,782 ~ 45 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
50,Sujoy Banerjee,AITC,0,12th Pass,63,"Rs 77,86,827 ~ 77 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
51,Sumanta Bouri,IND,0,Post Graduate,35,"Rs 10,97,000 ~ 10 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
52,Sushanta Mahato,AITC,0,Post Graduate,39,"Rs 13,65,410 ~ 13 Lacs+","Rs 4,02,634 ~ 4 Lacs+",PURULIA,WestBengal2021,0
53,Swapan Bauri,IND,0,10th Pass,47,"Rs 18,34,000 ~ 18 Lacs+","Rs 18,50,000 ~ 18 Lacs+",PURULIA,WestBengal2021,0
54,Swapan Kumar Bauri,CPI(M),0,Graduate,27,"Rs 6,700 ~ 6 Thou+",Rs 0 ~,PURULIA,WestBengal2021,7
55,Swapan Kumar Beltharia,AITC,1,8th Pass,58,"Rs 1,53,34,573 ~ 1 Crore+","Rs 43,72,831 ~ 43 Lacs+",PURULIA,WestBengal2021,0
56,Swapan Kumar Murmu,SUCI(C),0,12th Pass,36,Rs 500 ~ 5 Hund+,Rs 0 ~,PURULIA,WestBengal2021,0
57,Tikaram Hembram,BSP,0,12th Pass,49,"Rs 18,11,500 ~ 18 Lacs+","Rs 9,80,000 ~ 9 Lacs+",PURULIA,WestBengal2021,0
58,Tirtha Nath Mahato,Akhil Bharat Hindu Mahasabha,0,12th Pass,70,"Rs 5,00,000 ~ 5 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
59,Umapada Bauri,AITC,0,Graduate,38,"Rs 38,60,993 ~ 38 Lacs+","Rs 10,00,000 ~ 10 Lacs+",PURULIA,WestBengal2021,7
60,Uttam Kumar Bandyopadhyay,INC,0,Graduate,64,"Rs 12,55,900 ~ 12 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,7
61,Vivekananda Bauri,BJP,0,Graduate Professional,44,"Rs 20,30,856 ~ 20 Lacs+",Rs 0 ~,PURULIA,WestBengal2021,0
62,Yamini Kanta Mandi,CPI(M),0,Post Graduate,48,"Rs 33,96,148 ~ 33 Lacs+","Rs 10,00,000 ~ 10 Lacs+",PURULIA,WestBengal2021,0
0,Abdul Khaleque Molla,AITC,2,10th Pass,76,"Rs 83,45,642 ~ 83 Lacs+","Rs 2,29,810 ~ 2 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
1,Abdur Razzak Molla,INC,2,10th Pass,59,"Rs 26,50,450 ~ 26 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
2,Agniswar Naskar,BJP,1,Graduate,42,"Rs 74,24,649 ~ 74 Lacs+","Rs 68,14,277 ~ 68 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,7
3,Ahammad Sardar,SUCI(C),0,12th Pass,68,"Rs 15,62,000 ~ 15 Lacs+","Rs 28,000 ~ 28 Thou+",SOUTH 24 PARGANAS,WestBengal2021,0
4,Ahmed Javed Khan,AITC,1,Graduate,64,"Rs 32,33,01,926 ~ 32 Crore+","Rs 41,51,01,490 ~ 41 Crore+",SOUTH 24 PARGANAS,WestBengal2021,7
5,Ajay Haldar,IND,0,8th Pass,36,"Rs 8,706 ~ 8 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
6,Ajit Baul,BSP,0,8th Pass,36,"Rs 11,58,521 ~ 11 Lacs+","Rs 1,08,000 ~ 1 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
7,Ajit Baul,BSP,0,8th Pass,36,"Rs 11,72,321 ~ 11 Lacs+","Rs 1,08,000 ~ 1 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
8,Aloke Jaldata,AITC,1,Graduate Professional,54,"Rs 3,35,22,682 ~ 3 Crore+","Rs 74,83,333 ~ 74 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
9,Amal Dhali,BSP,0,8th Pass,61,"Rs 49,03,840 ~ 49 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
10,Amitav Naskar,RPI(A),0,Post Graduate,35,"Rs 12,20,000 ~ 12 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
11,Ananda Kundu,IND,0,Illiterate,53,"Rs 30,026 ~ 30 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,1
12,Anil Chandra Mondal,Revolutionary Socialist Party,0,Post Graduate,58,"Rs 12,30,915 ~ 12 Lacs+","Rs 7,32,000 ~ 7 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
13,Anindita Basu,IND,0,Post Graduate,50,"Rs 1,06,77,527 ~ 1 Crore+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
14,Anjana Basu,BJP,0,Graduate,49,"Rs 1,65,08,981 ~ 1 Crore+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
15,Anwar Raza,IND,0,8th Pass,68,"Rs 4,40,100 ~ 4 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
16,Apurba Pramanik (Apu),CPI(M),4,Graduate,32,"Rs 49,59,303 ~ 49 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
17,Arnab Roy,BJP,0,Graduate,60,"Rs 66,27,572 ~ 66 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
18,Aroop Biswas,AITC,0,Graduate,57,"Rs 1,15,88,610 ~ 1 Crore+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
19,Arun Sarkar,IND,0,10th Pass,55,"Rs 2,91,500 ~ 2 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
20,Aruna Ray,IND,0,Graduate,44,"Rs 34,09,412 ~ 34 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
21,Arunansu Kumar Sarkar,IND,0,Graduate Professional,53,"Rs 5,05,238 ~ 5 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
22,Arundhuti Maitra (Lovely),AITC,0,Graduate,30,"Rs 90,14,300 ~ 90 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
23,Ashis Kumar Danda,SUCI(C),0,Graduate,63,"Rs 91,54,000 ~ 91 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
24,Ashok Kumar Deb,AITC,1,Graduate Professional,71,"Rs 23,81,783 ~ 23 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
25,Ashutosh Dey,IND,0,Graduate,54,"Rs 2,000 ~ 2 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
26,Asit Kumar Haldar,BJP,2,Graduate Professional,42,"Rs 14,97,406 ~ 14 Lacs+","Rs 4,89,000 ~ 4 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
27,Atal Kumar Purkait,BSP,0,12th Pass,76,"Rs 25,85,210 ~ 25 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
28,Atanu Chatterjee,IND,0,Graduate Professional,33,"Rs 48,255 ~ 48 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
29,Avijit Sarkar,IND,0,Post Graduate,41,"Rs 14,18,545 ~ 14 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
30,Bablu Haldar,IND,0,Graduate,37,"Rs 21,07,551 ~ 21 Lacs+","Rs 6,91,995 ~ 6 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,7
31,Bablu Sanfui,LJP,0,Post Graduate,35,"Rs 3,00,500 ~ 3 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
32,Babul Supriyo,BJP,13,Graduate,50,"Rs 7,44,10,471 ~ 7 Crore+","Rs 1,06,71,088 ~ 1 Crore+",SOUTH 24 PARGANAS,WestBengal2021,7
33,Bankim Chandra Hazra,AITC,0,Post Graduate,71,"Rs 90,90,193 ~ 90 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
34,Barun Pramanik (Chitta),BJP,27,Graduate,55,"Rs 1,78,54,032 ~ 1 Crore+","Rs 1,70,00,000 ~ 1 Crore+",SOUTH 24 PARGANAS,WestBengal2021,7
35,Bharat Lal Das,BSP,0,5th Pass,49,"Rs 2,70,260 ~ 2 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
36,Bholanath Patra,IND,0,12th Pass,46,"Rs 6,06,643 ~ 6 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
37,Bidhan Parui,BJP,5,12th Pass,40,"Rs 2,55,317 ~ 2 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
38,Bimal Krishna Mandal,BSP,0,Post Graduate,61,"Rs 40,78,634 ~ 40 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
39,Biman Banerjee,AITC,0,Post Graduate,72,"Rs 2,38,62,266 ~ 2 Crore+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
40,Binanda Sing,IND,0,Post Graduate,47,Nil,Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
41,Biswajit Biswas,IND,0,12th Pass,26,"Rs 10,900 ~ 10 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
42,Biswajit Das,IND,0,Graduate,55,"Rs 5,07,456 ~ 5 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,7
43,Biswajit Mondal,IND,3,8th Pass,29,"Rs 3,37,323 ~ 3 Lacs+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
44,Biswajit Sardar,IND,0,10th Pass,27,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,SOUTH 24 PARGANAS,WestBengal2021,0
45,Biswanath Das,AITC,0,Post Graduate,55,"Rs 1,07,89,846 ~ 1 Crore+","Rs 14,58,616 ~ 14 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
46,Bivas Sardar (Vobo),AITC,1,12th Pass,45,"Rs 76,92,159 ~ 76 Lacs+","Rs 24,38,000 ~ 24 Lacs+",SOUTH 24 PARGANAS,WestBengal2021,0
